slot,flight_id,era,campaign,census_failure_reason,mechanism,legal,approaches,n_full_certified_le_3p5,n_full_ez_ok_le_3p5,n_side_certified,n_side_row_only,certified_full_end_range_m,certified_full_end_t_rel_s,full_dies_above_4p5,n_full_gaps,first_full_gap_range_m,first_full_gap_t_rel_s,first_full_gap_dt_s,speed_xy_median_mps,speed_xy_max_mps,speed_xy_median_le5_mps,entry_range_m,entry_x_m,entry_center_x_px,entry_y_down_m,lateral_abs_x_median_le5_m,lateral_abs_x_max_le5_m,bloom_undersized_frac,t_first_range_le_promote_s,certified_full_alive_at_promote_floor,n_scale_gate_le_3p5,n_ez_ok_le_3p5_recount,n_side_rows_le5,closest_certified_full_m
F1,20260720T071008-5b501b4c,archive,phase6l-cohort-3,NO_CERTIFIED_FULL_BELOW_3P5,NO_CERTIFIED_FULL_BELOW_3P5,False,0,0,0,0,0,5.290143068966311,3.3308999,True,1,6.016439657383309,3.3308999,0.3674678,0.0,0.0,0.0,5.290143068966311,0.02429757922720152,321.0,-3.123031300920556,0.3691060442405569,0.4354705005427544,0.0,,False,0,0,0,4.314456083022236
F2,20260720T071112-cd18c5fb,archive,phase6l-cohort-3,OK,LEGAL,True,1,18,18,9,2,3.8041822371409286,5.2345766,False,1,3.8041822371409286,5.2345766,1.3675275000000005,0.4675870938938534,1.7788599533037248,1.3938225450669703,5.299432232204071,0.07482991501071459,325.5,-3.066625589347833,0.03442606711222922,0.3947065056250129,0.0,6.9016614,False,0,18,27,1.064305018103599
F3,20260720T071220-5b501b4c,archive,phase6l-cohort-3,FULL_BELOW_3P5_NOT_EZ_USABLE,SCALE_GATE_FLIPPED_FAR_GATE_POST_GAP,False,0,1,0,0,1,5.190725455895457,4.0009907,True,1,5.586103588170824,4.0009907,1.5336718999999999,0.0,1.807175908345895,0.4190811235574047,5.293251455221918,0.022817303181004767,321.0,-3.1177721356453243,0.18094431365045255,1.3812810810505491,0.027777777777777776,7.0330718,False,1,0,8,1.24343725135097
F4,20260720T071333-cd18c5fb,archive,phase6l-cohort-3,OK,LEGAL,True,1,13,13,12,1,4.347982401412674,4.1285258,False,1,5.081349099507375,4.1285258,0.7011409999999998,1.6151513482196136,1.7818324105562635,1.732053960102274,5.267009075840111,0.018115539990577755,321.0,-2.9907472475341548,0.2756721362510969,0.46973452131034144,0.0,6.4618307,False,0,13,14,2.7790967938171347
F5,20260720T071439-5b501b4c,archive,phase6l-cohort-3,NO_CERTIFIED_FULL_BELOW_3P5,NO_CERTIFIED_FULL_BELOW_3P5,False,0,0,0,0,0,5.187492645427993,3.8994919,True,1,5.5286978610297375,3.8994919,0.7289329000000002,0.0,3.1657134260885287,3.158344462272095,5.230674043869106,-0.0002987260336648012,321.0,-2.963523406024578,0.37209739501013694,0.41197100193390945,0.08823529411764706,,False,0,0,0,4.5730690923464765
F6,20260720T071545-cd18c5fb,archive,phase6l-cohort-3,OK,LEGAL,True,1,8,8,2,0,2.9110505094641344,6.1647731,False,0,,,,0.4015576055340636,1.7558656061055378,1.4497960854058842,5.393174808399165,0.05253022122156009,321.5,-3.0877169653252516,0.15548479138980872,0.20538293904633825,0.0,,False,0,8,9,2.9110505094641344
F7/f1,20260720T133443-9aa0ef5c,metrology,phase7m-metrology,FULL_BELOW_3P5_NOT_EZ_USABLE,SCALE_GATE_FLIPPED_FAR_GATE_POST_GAP,False,0,11,0,0,4,5.270456349329163,4.1608045,True,1,5.270456349329163,4.1608045,1.4629785000000002,0.0,2.6714535334103227,0.0,5.4209966904777716,0.06510584807147868,323.5,-3.0868844755579223,3.883881217533713,4.55467820613147,0.203125,,False,11,0,4,2.9111323319150393
F8/f2,20260720T134522-9aa0ef5c,metrology,phase7m-metrology,OK,LEGAL,True,1,33,28,8,6,5.020451357538778,4.2294272,True,1,5.293914489703356,4.2294272,0.37030920000000034,1.5995252621940115,3.3920617587932065,1.6618357834840498,5.020451357538778,0.0900221784514146,322.0,-2.914768110942288,0.5843672722942566,5.335833136176586,0.03409090909090909,8.3601612,False,5,28,28,-0.8334916678566519
F9/f3,20260720T135008-9aa0ef5c,metrology,phase7m-metrology,OK,LEGAL,True,1,36,35,8,1,5.278756824277082,4.2627128,True,1,5.432448388094526,4.2627128,0.4716225999999999,1.6672296251689531,1.9937460594569814,1.7119740890452453,5.303784023452315,0.019631806462030308,321.0,-3.023118782004062,0.5656607120279307,3.200148039242494,0.09090909090909091,7.7614034,False,1,35,41,1.185409259667424
F10/f4,20260720T142917-9aa0ef5c,metrology,phase7m-metrology,NO_CERTIFIED_FULL_BELOW_3P5,NO_CERTIFIED_FULL_BELOW_3P5,False,0,0,0,0,3,5.225145824776412,4.2355262,True,1,5.311288118654485,4.2355262,1.2973178,0.0,0.5705645229426507,0.5139467869166183,5.293251455221918,0.022817303181004767,321.0,-3.1177721356453243,0.5807610819103869,0.7219869378101844,0.0,,False,0,0,6,3.748470846892272
