fix_idx,flight_id,frame_id,t_rel_s,phase,feature_mode,cert_status,det_cert_status,range_z_m,range_norm_m,x_m,y_down_m,gate_age_s,center_x_px,y_top_px,span_px,span_x_range_product,honest_product_px_m,scale_band_lo,scale_band_hi,scale_product_ok_vs_feature_range,span_over_expected_at_range_z,e_meas,e_reject,ez_usable,kill_stage,flag_far_right_edge,flag_large_lateral_x,flag_stale_gate_age,flag_undersized_span,stage_s1_full_quad,stage_s2_cert_certified,stage_s3_range_le_3p5,stage_s4_above_promote_floor,stage_s5_e_reject_ok
1,20260720T133443-9aa0ef5c,274,5.7286719,recover,FULL_QUAD,certified,certified,3.4826411636430183,5.129758077619832,-3.764147495838784,-0.12969999913542493,1.171113176,512.5,276.0,49.040799340956916,170.79150648277397,512.0,302.08,798.72,False,0.3335771610991679,,scale_gate,False,scale_gate,True,True,True,True,True,True,True,True,False
2,20260720T133443-9aa0ef5c,275,5.7639214,recover,FULL_QUAD,certified,certified,3.4168077725170347,5.143725429404299,-3.842998131369816,-0.12124892187444664,1.204625176,512.0,287.5,54.45181356024793,186.05137980030358,512.0,302.08,798.72,False,0.3633816011724679,,scale_gate,False,scale_gate,True,True,True,True,True,True,True,True,False
3,20260720T133443-9aa0ef5c,276,5.7894321,recover,FULL_QUAD,certified,certified,3.382413935482653,5.152480267156146,-3.883881217533713,-0.15098198758481773,1.221994176,513.0,290.5,50.24937810560445,169.9641967537334,512.0,302.08,798.72,False,0.33196132178463555,,scale_gate,False,scale_gate,True,True,True,True,True,True,True,True,False
4,20260720T133443-9aa0ef5c,277,5.8262701,recover,FULL_QUAD,certified,certified,3.3141701738507106,5.172585961293256,-3.966855988148875,-0.18967117602273564,1.256783176,511.5,292.0,55.14526271584895,182.76078492202822,512.0,302.08,798.72,False,0.35695465805083637,,scale_gate,False,scale_gate,True,True,True,True,True,True,True,True,False
5,20260720T133443-9aa0ef5c,278,5.8635245,recover,FULL_QUAD,certified,certified,3.2488608551843163,5.197467708679997,-4.051494788728023,-0.20967523299617108,1.291467176,512.0,292.0,54.147945482723536,175.91914046747493,512.0,302.08,798.72,False,0.343592071225537,,scale_gate,False,scale_gate,True,True,True,True,True,True,True,True,False
6,20260720T133443-9aa0ef5c,279,5.8966574,recover,FULL_QUAD,certified,certified,3.1656256502957945,5.237049637364032,-4.164889702982906,-0.24330414791167881,1.337663176,513.5,291.0,51.03920062069938,161.571002655479,512.0,302.08,798.72,False,0.31556836456148246,,scale_gate,False,scale_gate,True,True,True,True,True,True,True,True,False
7,20260720T133443-9aa0ef5c,280,5.9295963,recover,FULL_QUAD,certified,certified,3.124833178642413,5.25921230092125,-4.22206694066733,-0.26245453004465746,1.360865176,511.5,296.0,55.14526271584895,172.31974657943724,512.0,302.08,798.72,False,0.33656200503796335,,scale_gate,False,scale_gate,True,True,True,True,True,True,True,True,False
8,20260720T133443-9aa0ef5c,281,5.9596233,recover,FULL_QUAD,certified,certified,3.077130650820861,5.28910103082955,-4.291739087499036,-0.294673169687933,1.388816176,509.5,296.5,59.21148537234985,182.20147651988879,512.0,302.08,798.72,False,0.3558622588279078,,scale_gate,False,scale_gate,True,True,True,True,True,True,True,True,False
9,20260720T133443-9aa0ef5c,282,5.9915104,recover,FULL_QUAD,certified,certified,3.020008485699677,5.328819581731613,-4.378486728194763,-0.3236060134956506,1.423423176,511.0,297.5,56.22277118748239,169.79324607574813,512.0,302.08,798.72,False,0.3316274337416955,,scale_gate,False,scale_gate,True,True,True,True,True,True,True,True,False
10,20260720T133443-9aa0ef5c,283,6.0276212,recover,FULL_QUAD,certified,certified,2.9645308624787003,5.370116702911837,-4.466228868821997,-0.3201716096173662,1.458121176,511.0,297.5,54.08326913195984,160.33152048543658,512.0,302.08,798.72,False,0.31314750094811833,,scale_gate,False,scale_gate,True,True,True,True,True,True,True,True,False
11,20260720T133443-9aa0ef5c,284,6.0623598,recover,FULL_QUAD,certified,certified,2.9111323319150393,5.416057275883701,-4.55467820613147,-0.33747799976102844,1.492714176,510.0,298.5,54.230987451824994,157.87358096268653,512.0,302.08,798.72,False,0.30834683781774713,,scale_gate,False,scale_gate,True,True,True,True,True,True,True,True,False
