t_rel_s,signed_plane_m,v_cmd_along_plane,v_est_along_plane,v_cmd_lat,v_est_lat,v_cmd_vert,v_est_vert
0.0,0.9820383963549756,1.3358485359650698,2.12323719368209,0.15628570346271442,-0.35575231749132863,-0.622481025,-0.9630743573514897
0.0184,0.9312046498640985,-1.2,2.1077393585204427,0.0,-0.22158219857328904,-0.0,-2.461878737375153
0.038,0.9080426755299441,-1.2,2.1252456362390846,0.0,-0.16443513846777777,-0.2,-2.635761344539675
0.058,0.8850683682428107,-1.2,2.1664679185021267,0.0,0.012321561466308271,-0.2,-1.7456348295735138
0.0781,0.8579967344816669,-1.2,2.1907757026763046,0.0,0.10641420460995397,-0.2,-1.1493286335575836
0.098,0.8190356921126661,-1.2,2.1461852921871514,0.0,0.15644780328249136,-0.2,-0.13762953429685348
0.118,0.7910591615165452,-1.2,2.1241201523367437,0.0,0.1600248722749191,-0.2,0.25283960993554183
0.1381,0.731346998701813,-1.2,2.07230736242346,0.0,0.15038596859263703,-0.2,0.38074217758925094
0.1581,0.68755424970216,-1.2,2.0206891235593414,0.0,0.13780049299728875,-0.2,-0.2590056055653803
0.178,0.6589082149052576,-1.2,2.0057952532090417,0.0,0.1358901165371131,-0.2,-0.4336744429969287
0.1983,0.6054141675999039,-1.2,1.974311690486107,0.0,0.12367228923298161,-0.2,-0.5148519503483917
0.2181,0.5705616672509407,-1.2,1.9493084306971618,0.0,0.11633710846404433,-0.2,-0.16513603011138406
0.238,0.5398406229932721,-1.2,1.933668039967777,0.0,0.11277745402810105,-0.2,0.0446855627800979
0.2581,0.501420934525463,-1.2,1.878102151949628,0.0,0.10445134162668901,-0.2,-0.025638941476988093
0.2781,0.4615901091278284,-1.2,1.8556976812393629,0.0,0.09899044081480991,-0.2,-0.13624335431565798
0.298,0.42459677494328757,-1.2,1.83550256853176,0.0,0.09310147508157995,-0.2,-0.2569684269700679
0.318,0.39980614406691406,-1.2,1.8177434925040992,0.0,0.0884659640500936,-0.2,-0.35628282927673394
0.3382,0.3518818435432232,-1.2,1.7650280552015625,0.0,0.07855620403707482,-0.2,-0.34517722442079557
0.3653,0.316596175079053,-1.2,1.7468175478116255,0.0,0.07158258758621917,-0.2,-0.1977819621039568
0.378,0.29303504310688705,-1.2,1.7292148901997895,0.0,0.0672398840923033,-0.2,-0.03082939301825268
0.3982,0.24683438404436975,-1.2,1.7026447036846006,0.0,0.0580707535482731,-0.2,-0.06852980211039175
0.418,15.595319624837959,0.0,1.681029241003713,0.0,0.05236758892012433,-0.0,-0.18577228609380234
