event_id,event_tick,event_t_grid_s,phase_at_event,v_ref_prev_up_mps,v_ref_event_up_mps,delta_v_ref_up_mps,post_end_tick,pre_window_ok,valid_response_rows,sentinel_overlap_rows,absent_response_rows,tick_mismatch_rows,status,exclusion_reasons
A091_DOWNSTEP_01,238,4.76,recover,0.952120141444416,-0.0,-0.952120141444416,263,True,13,0,0,0,QUALIFY,
A091_DOWNSTEP_02,363,7.26,commit,1.2769138524645958,-0.6,-1.8769138524645959,366,False,0,0,0,0,EXCLUDED,PRE_WINDOW_UNSTABLE;INSUFFICIENT_ROWS
A091_DOWNSTEP_03,367,7.34,commit,1.3987507604363314,-0.43999999999999995,-1.8387507604363313,369,False,0,0,0,0,EXCLUDED,PRE_WINDOW_UNSTABLE;INSUFFICIENT_ROWS
A091_DOWNSTEP_04,370,7.4,commit,1.6401081427965223,-0.32,-1.9601081427965223,395,False,0,0,0,0,EXCLUDED,PRE_WINDOW_UNSTABLE;INSUFFICIENT_ROWS
A091_DOWNSTEP_05,400,8.0,approach,1.1943873810580312,0.8939457351859104,-0.30044164587212085,425,False,7,0,3,0,EXCLUDED,PRE_WINDOW_UNSTABLE;INSUFFICIENT_ROWS
A091_DOWNSTEP_06,507,10.14,approach,0.8871258606622651,0.09531296857034294,-0.7918128920919221,509,False,0,0,1,0,EXCLUDED,PRE_WINDOW_UNSTABLE;INSUFFICIENT_ROWS
A091_DOWNSTEP_07,510,10.200000000000001,recover,0.40423417219701807,-0.0,-0.40423417219701807,535,False,3,0,1,0,EXCLUDED,PRE_WINDOW_UNSTABLE;INSUFFICIENT_ROWS
A091_DOWNSTEP_08,584,11.68,align,0.9552474842551766,-0.5208089706520822,-1.4760564549072588,589,False,3,0,0,0,EXCLUDED,PRE_WINDOW_UNSTABLE;INSUFFICIENT_ROWS
A091_DOWNSTEP_09,590,11.8,commit,0.3274645794567699,0.013309900105535167,-0.3141546793512347,615,False,13,0,0,0,EXCLUDED,PRE_WINDOW_UNSTABLE
A091_DOWNSTEP_10,667,13.34,commit,1.4263032903521855,1.0273948079251751,-0.3989084824270104,692,False,0,0,0,0,EXCLUDED,PRE_WINDOW_UNSTABLE;INSUFFICIENT_ROWS
A091_DOWNSTEP_11,702,14.040000000000001,retreat,0.9316477876051052,0.0,-0.9316477876051052,727,True,0,0,3,0,EXCLUDED,INSUFFICIENT_ROWS
A091_DOWNSTEP_12,1015,20.3,commit,2.5958398490264756,1.9897246943970766,-0.606115154629399,1040,False,0,0,0,0,EXCLUDED,PRE_WINDOW_UNSTABLE;INSUFFICIENT_ROWS
