left_out_flight_id,train_flights,train_clusters,train_rows,point_sigma_a_mps2,profile_u95_sigma_a_mps2,pushes_over_gate,profile_nearly_flat,era,era_family,recording_regime
20260717T095722-a560c093,22,22,1608,1.2555229789014763,1.3250000000000002,True,False,phase5c,phase5,archive
20260717T101837-7223cc0c,22,22,1625,1.2908861817286292,1.375,True,False,phase5d,phase5,vertical
20260717T102007-7223cc0c,22,22,1620,1.2446188865856669,1.3250000000000002,True,False,phase5d,phase5,vertical
20260717T151002-a9753343,22,22,1625,1.2732165306640615,1.35,True,False,phase5f,phase5,archive
20260717T151717-e179e097,22,22,1584,1.2058516267178514,1.2750000000000001,True,False,phase5f,phase5,archive
20260717T153048-927a4c97,22,22,1611,1.2716660273625129,1.35,True,False,phase6a,phase6,archive
20260717T153748-d946830d,22,22,1605,1.2604473437261372,1.35,True,False,phase6a,phase6,archive
20260719T075333-fab49fbf,22,22,1494,1.3063529740451614,1.4000000000000001,True,False,phase6b,phase6,aligned-dash
20260719T080255-fab49fbf,22,22,1582,1.1926412593860911,1.2750000000000001,True,False,phase6b,phase6,aligned-dash
20260719T134326-2477345e,22,22,1535,1.215361644467192,1.3,True,False,phase6d,phase6,archive
20260719T142919-a76247fb,22,22,1602,1.2702875227441093,1.35,True,False,phase6e,phase6,archive
20260719T143404-a76247fb,22,22,1485,1.4122660956751385,1.5,True,False,phase6e,phase6,archive
20260719T144941-a76247fb,22,22,1616,1.242934736923386,1.3250000000000002,True,False,phase6f,phase6,archive
20260719T150627-486b0765,22,22,1566,1.6055009495382653,1.675,True,False,phase6g,phase6,terminal-live
20260719T160537-f170ead6,22,22,1493,1.413701888142074,1.75,True,False,phase6h,phase6,first-enable
20260719T163649-f170ead6,22,22,1543,1.2148442804013153,1.3,True,False,phase6h,phase6,first-enable
20260719T200816-f170ead6,22,22,1517,1.4300752729176978,1.5250000000000001,True,False,phase6i,phase6,r-rate-ab
20260719T201851-50f9dcc8,22,22,1511,1.2117563212021314,1.2750000000000001,True,False,phase6i,phase6,r-rate-ab
20260720T054016-5cebc2b2,22,22,1483,1.445779532171414,1.75,True,False,phase6j,phase6,block-a
20260720T062804-c38fd469,22,22,1518,1.4329166632809114,1.475,True,False,phase6k,phase6,cohort-2
20260720T071112-cd18c5fb,22,22,1618,1.4779121195035088,1.5250000000000001,True,False,phase6l,phase6,terminal_live
20260720T071333-cd18c5fb,22,22,1570,1.296951102031987,1.375,True,False,phase6l,phase6,terminal_live
20260720T135008-9aa0ef5c,22,22,1625,1.2964602126807467,1.375,True,False,phase7m,phase7,metrology
